Model,Average Accuracy,Average Runtime (s)
Logistic Regression,0.723,0.09281692504882813
KNN,0.7125000000000001,0.09539375305175782
Random Forest,0.796,1.748247003555298
SVM,0.8002500000000001,0.5248235702514649
QSVC,0.31375,10710.72780623436
