LR,KNN,RF,SVM,QSVC,PegasosQSVC,LR_Time,KNN_Time,RF_Time,SVM_Time,QSVC_Time,Pegasos_Time
1.0,1.0,1.0,1.0,0.5,0.5,0.01309823989868164,0.005697488784790039,0.07445073127746582,0.0011851787567138672,18.83201766014099,502.7241973876953
1.0,1.0,1.0,1.0,0.5,0.55,0.0803673267364502,0.06995368003845215,2.613654136657715,0.0,258.6328868865967,546.1346759796143
0.95,0.95,0.95,0.95,0.4,0.45,0.015864133834838867,0.032064199447631836,0.3197667598724365,0.0,75.24320030212402,475.48940324783325
1.0,1.0,0.95,1.0,0.55,0.45,0.0,0.0,0.08432745933532715,0.0,21.12045907974243,872.7829821109772
1.0,1.0,0.95,1.0,0.35,0.5,0.0,0.019934654235839844,0.21481943130493164,0.0,58.65583515167236,712.4499564170837
