Model,Average Accuracy,Average Time (s)
Logistic Regression,0.5041666666666667,0.0038507461547851564
KNN,0.7833333333333333,0.006619024276733399
Random Forest,0.7833333333333332,0.17801284790039062
SVM,0.5250000000000001,0.0037122726440429687
QSVC,1.0,46.79547266960144
