CML_Score,QML_Score,CML_Time,QML_Time
0.725,0.725,0.0,177.5648798942566
0.675,0.725,0.01580977439880371,174.61976718902588
0.75,0.775,0.0,176.8200650215149
0.8,0.75,0.0,585.4703118801117
0.775,0.825,0.0,177.21927952766418
