Fold,LR,KNN,RF,SVM,QSVC,LR_Time,KNN_Time,RF_Time,SVM_Time,QSVC_Time
1,0.9,1.0,1.0,1.0,0.65,0.013699531555175781,0.014005899429321289,0.13074564933776855,0.0,127.24349308013916
2,0.75,1.0,0.975,0.975,0.7,0.00957942008972168,0.0,0.12382006645202637,0.0,111.6317777633667
3,0.875,1.0,1.0,1.0,0.65,0.0,0.0,0.12901592254638672,0.0,128.5606689453125
4,0.825,0.95,0.925,0.925,0.55,0.01579451560974121,0.013207197189331055,0.2286851406097412,0.0,123.93535494804382
5,0.875,1.0,1.0,0.975,0.725,0.0,0.0,0.16824913024902344,0.0,111.89957118034363
