Model,Average Accuracy,Average Time (s)
Logistic Regression,0.845,0.007814693450927734
KNN,0.99,0.005442619323730469
Random Forest,0.9800000000000001,0.15610318183898925
SVM,0.975,0.0
QSVC,0.655,120.65417318344116
