Fold,Logistic Regression_Accuracy,Logistic Regression_Time,KNN_Accuracy,KNN_Time,Random Forest_Accuracy,Random Forest_Time,SVM_Accuracy,SVM_Time,QSVC_Accuracy,QSVC_Time
1,0.5208333333333334,0.003086566925048828,0.7916666666666666,0.00454401969909668,0.7291666666666666,0.10527873039245605,0.5208333333333334,0.015727758407592773,1.0,35.88594436645508
2,0.5,0.0,0.7708333333333334,0.0,0.875,0.15903234481811523,0.5625,0.0,1.0,36.953640937805176
3,0.6041666666666666,0.0,0.7916666666666666,0.0,0.7291666666666666,0.1481623649597168,0.4583333333333333,0.0,1.0,36.69208478927612
4,0.4375,0.0,0.8125,0.01581740379333496,0.8541666666666666,0.14458513259887695,0.5,0.0,1.0,61.80572819709778
5,0.4583333333333333,0.016167163848876953,0.75,0.012733697891235352,0.7291666666666666,0.3330056667327881,0.5833333333333334,0.0028336048126220703,1.0,62.63996505737305
